(12/20/2023 12:23:39 PM) |> ----------------------------------------------
(12/20/2023 12:23:39 PM) |> Method; (SetupFormClass.SetupFormClass) [Start Up]
(12/22/2023 11:32:08 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:32:08 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 77), Value; (35)
(12/22/2023 11:32:08 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:08 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:32:08 AM) |> method; (GameLogicClass.DrawPileClickLogic), Player index; (0), add one
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (500, 740)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 740)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 740)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 740)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 740)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (885, 740)
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (885, 885)
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.UpdatePoints) [1009]
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/22/2023 11:32:08 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.UpdatePoints) [842]
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:32:08 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:32:08 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (17), Added; (Nothing)
(12/22/2023 11:32:08 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:32:08 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (8)
Player1 CardCount; (6)
    PlusAmount (0)
    Discard Pile Count; (17), Top Card; (red 3; 3 Points)
(12/22/2023 11:32:08 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (8)
Player1 CardCount; (5)
    PlusAmount (0)
    Discard Pile Count; (17), Top Card; (red 3; 3 Points)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.DrawPile_Clicked)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:32:09 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 76), Value; (36)
(12/22/2023 11:32:09 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.DrawPileClickLogic), Player index; (1), add one
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (475, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (530, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (585, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (805, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (860, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (915, 740)
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (915, 915)
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.UpdatePoints) [1101]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 3; 3 Points
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.UpdatePoints) [910]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (17), Added; (Nothing)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:32:09 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 75), Value; (72)
(12/22/2023 11:32:09 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.DrawPileClickLogic), Player index; (0), add one
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (475, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (530, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (585, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (805, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (860, 740)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (915, 740)
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (915, 915)
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.UpdatePoints) [1193]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 3; 3 Points
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/22/2023 11:32:09 AM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.UpdatePoints) [1018]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 3; 3 Points
(12/22/2023 11:32:09 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (17), Added; (Nothing)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (9)
Player1 CardCount; (7)
    PlusAmount (0)
    Discard Pile Count; (17), Top Card; (red 3; 3 Points)
(12/22/2023 11:32:09 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (9)
Player1 CardCount; (6)
    PlusAmount (0)
    Discard Pile Count; (17), Top Card; (red 3; 3 Points)
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (8)
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (8)
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.CardPlay), c_card; (red) (7), error
(12/22/2023 11:32:11 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (8), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 7), Player Index (1)
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (500, 740)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 740)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 740)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 740)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 740)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (885, 740)
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (885, 885)
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.UpdatePoints) [1278]
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 7; 7 Points
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/22/2023 11:32:11 AM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.UpdatePoints) [1126]
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 7; 7 Points
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:32:11 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-5)
(12/22/2023 11:32:11 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (0)
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (18), Added; (red 7; 7 Points)
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:32:11 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 7; 7 Points
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (6)
(12/22/2023 11:32:11 AM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (1), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 6
(12/22/2023 11:32:11 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (6)
(12/22/2023 11:32:11 AM) |> method; (wildFormClass.wildFormClass)
(12/22/2023 11:32:14 AM) |> method; (wildFormClass.blueBT_Click) [this.Tag = blue]
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (wild), wild, blue
(12/22/2023 11:32:14 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (6), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, wild), Player Index (0)
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (500, 740)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 740)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 740)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 740)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 740)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (885, 740)
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (885, 885)
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.UpdatePoints) [1363]
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue wild; 40 Points
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/22/2023 11:32:14 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.UpdatePoints) [1194]
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue wild; 40 Points
(12/22/2023 11:32:14 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:32:14 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (5)
(12/22/2023 11:32:14 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (4)
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (19), Added; (blue wild; 40 Points)
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (8)
Player1 CardCount; (6)
    PlusAmount (0)
    Discard Pile Count; (19), Top Card; (blue wild; 40 Points)
(12/22/2023 11:32:14 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (8)
Player1 CardCount; (7)
    PlusAmount (0)
    Discard Pile Count; (19), Top Card; (blue wild; 40 Points)
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (3)
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (3)
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (skip), error
(12/22/2023 11:32:16 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.CardClickLogic), In skip
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
